-- diagnose_rounds_won.lua -- inicio frame 0 --
[SNAP] snapshot_BEFORE tomado en frame 686 | P1HP=144 P2HP=144
[CAMBIO F694] P2_CROUCH_ref (0xFF86C4): 0 -> 2
[CAMBIO F868] P2_CROUCH_ref (0xFF86C4): 2 -> 3
[CAMBIO F1008] P1_base+0xEB+2 (0xFF83EB): 144 -> 134
[CAMBIO F1008] GLOBAL+0x21 (0xFF8021): 32 -> 36
[CAMBIO F1120] P2_base+0xEB+2 (0xFF86EB): 144 -> 124
[CAMBIO F1120] GLOBAL+0x21 (0xFF8021): 36 -> 40
[CAMBIO F1148] P2_base+0xEB+2 (0xFF86EB): 124 -> 120
[CAMBIO F1148] GLOBAL+0x21 (0xFF8021): 40 -> 44
[CAMBIO F1176] P2_base+0xEB+2 (0xFF86EB): 120 -> 116
[CAMBIO F1176] GLOBAL+0x21 (0xFF8021): 44 -> 48
[CAMBIO F1204] P2_base+0xEB+2 (0xFF86EB): 116 -> 112
[CAMBIO F1204] GLOBAL+0x21 (0xFF8021): 48 -> 52
[CAMBIO F1232] P2_base+0xEB+2 (0xFF86EB): 112 -> 108
[CAMBIO F1232] GLOBAL+0x21 (0xFF8021): 52 -> 56
[CAMBIO F1260] P2_base+0xEB+2 (0xFF86EB): 108 -> 104
[CAMBIO F1260] GLOBAL+0x21 (0xFF8021): 56 -> 60
[CAMBIO F1288] P2_base+0xEB+2 (0xFF86EB): 104 -> 100
[CAMBIO F1288] GLOBAL+0x21 (0xFF8021): 60 -> 64
[CAMBIO F1356] GLOBAL+0x21 (0xFF8021): 64 -> 68
[CAMBIO F1358] P2_base+0xEB+2 (0xFF86EB): 100 -> 74
[CAMBIO F1530] GLOBAL+0x21 (0xFF8021): 68 -> 72
[CAMBIO F1532] P1_base+0xEB+2 (0xFF83EB): 134 -> 121
[CAMBIO F1762] P2_base+0xEB+2 (0xFF86EB): 74 -> 52
[CAMBIO F1762] GLOBAL+0x21 (0xFF8021): 72 -> 76
[CAMBIO F1868] P2_base+0xEB+2 (0xFF86EB): 52 -> 30
[CAMBIO F1868] GLOBAL+0x21 (0xFF8021): 76 -> 80
[CAMBIO F1956] P1_base+0xEB+2 (0xFF83EB): 121 -> 120
[CAMBIO F1956] GLOBAL+0x21 (0xFF8021): 80 -> 84
[CAMBIO F2016] P1_base+0xEB+2 (0xFF83EB): 120 -> 114
[CAMBIO F2082] P2_CROUCH_ref (0xFF86C4): 3 -> 2
[CAMBIO F2238] P2_CROUCH_ref (0xFF86C4): 2 -> 3
[CAMBIO F2380] P2_CROUCH_ref (0xFF86C4): 3 -> 2
[CAMBIO F2400] P1_base+0xEB+2 (0xFF83EB): 114 -> 103
[CAMBIO F2400] P2_base+0xEB+2 (0xFF86EB): 30 -> 10
[CAMBIO F2400] GLOBAL+0x21 (0xFF8021): 84 -> 92
[CAMBIO F2452] P2_CROUCH_ref (0xFF86C4): 2 -> 3
[CAMBIO F2576] P2_CROUCH_ref (0xFF86C4): 3 -> 2
