#{"t_start": 1775327736.521103, "env_id": "None"}
r,l,t
1689.30641,569,35.389778
-233.317949,2071,83.366115
1871.847436,1418,115.057172
1214.525641,40,158.353175
1444.183333,572,207.539057
2669.175641,2073,271.274953
1238.933333,582,310.625484
831.061538,327,340.615473
740.85641,541,364.243563
1389.769231,2143,425.64973
-50.0,2,451.849748
1259.873077,918,486.297817
2034.29359,1033,556.24065
1125.102564,475,582.790469
2122.725641,1371,618.880296
2117.312821,696,669.881906
1174.283333,864,713.850572
1464.570513,1187,749.724892
2057.130769,968,781.390498
649.780769,972,808.590986
1290.10641,479,824.268247
428.508974,1466,892.536426
220.115385,656,913.69913
20.539744,844,948.327472
400.039744,391,966.151107
-231.461538,1398,1020.838709
1165.008974,1231,1084.032426
776.017949,223,1101.44933
1078.425641,59,1117.858623
522.237179,659,1136.906545
-60.95,24,1148.969008
1092.760256,1508,1220.396693
2133.446154,2372,1340.136315
1409.316667,1046,1364.709656
852.371795,532,1388.606863
576.194872,1275,1445.278711
1069.420513,158,1469.895634
383.057692,1353,1496.602928
1401.448718,2370,1585.202135
1180.25641,315,1598.719944
3762.45641,1186,1627.669414
1774.598718,789,1667.78706
451.141026,503,1675.452262
1817.55641,704,1714.618207
200.712821,599,1766.823607
263.279487,1551,1810.536611
244.752564,742,1826.795512
873.070513,496,1843.677399
1621.547436,1237,1886.80274
865.483333,528,1917.279018
1522.637179,419,1930.565242
802.770513,694,1947.872411
1897.220513,435,1987.274136
1743.089744,308,2005.186297
1066.347436,560,2024.886953
686.9,735,2044.689847
974.561538,502,2067.885454
564.348718,982,2083.091475
1088.179487,896,2110.195263
3163.235897,1293,2157.546264
